item_name,is_expense,quantity,sum_of_one
Воздушные шарики,TRUE,3000,6
Автоматы с мороженным,TRUE,0,0
Продажа мороженного,FALSE,100,150
Аренда торговой площади,TRUE,1,50000
Зарплата аниматоров,TRUE,4,30000
Продажа сладкой ваты,FALSE,200,200
Техническое обслуживание аппаратов,TRUE,3,5000
Реклама (контекстная),TRUE,1,20000
Услуги аквагрима,FALSE,100,600
Расходные материалы (краски),TRUE,5,1200
Аренда склада,TRUE,1,20000
Продажа прохладительных напитков,FALSE,500,100
Закупка напитков оптом,TRUE,500,45
Гелий для шаров (баллоны),TRUE,5,9000
Организация фотозоны,FALSE,10,15000
Монтаж декораций,TRUE,10,4000
Услуги фотографа,TRUE,8,5500
Билеты на детское шоу,FALSE,10,1000
Обновление реквизита,TRUE,1,1000
Налоги и сборы,TRUE,1,18000
